DATE,PRICE,MA,CROSS
1971-09-09,110.550003,108.1142,1
1971-09-10,110.41999799999999,108.1666,1
1971-09-13,110.220001,108.2016,1
1971-09-14,109.769997,108.2216,1
1971-09-15,109.790001,108.2328,1
1971-09-16,109.779999,108.2282,1
1971-09-17,110.099998,108.2218,1
1971-09-20,109.989998,108.2034,1
1971-09-21,109.82,108.175,1
1971-09-22,108.989998,108.1396,1
1971-09-23,108.800003,108.1088,1
1971-09-24,108.879997,108.072,1
1971-09-27,108.18,108.036,1
1971-09-28,108.379997,108.0162,1
1971-09-29,108.599998,107.9924,1
1971-09-30,109.029999,107.9782,1
1971-10-01,109.58000200000001,107.979,1
1971-10-04,109.959999,107.9856,1
1971-10-05,109.989998,107.9984,1
1971-10-06,110.68,108.0406,1
1971-10-07,110.980003,108.1112,1
1971-10-08,110.739998,108.2098,1
1971-10-11,110.709999,108.3186,1
1971-10-12,110.910004,108.425,1
1971-10-13,110.690002,108.5506,1
1971-10-14,109.870003,108.6828,1
1971-10-15,109.599998,108.8126,1
1971-10-18,109.059998,108.9182,1
1971-10-19,107.989998,109.0144,0
1971-10-20,106.58000200000001,109.0852,0
1971-10-21,106.610001,109.1358,0
1971-10-22,106.800003,109.1676,0
1971-10-25,106.290001,109.1846,0
1971-10-26,105.690002,109.1412,0
1971-10-27,104.279999,109.0482,0
1971-10-28,104.5,108.9704,0
1971-10-29,105.099998,108.9122,0
1971-11-01,103.690002,108.8282,0
1971-11-02,103.540001,108.7338,0
1971-11-03,105.010002,108.662,0
1971-11-04,105.559998,108.5962,0
1971-11-05,105.459999,108.526,0
1971-11-08,105.43,108.4486,0
1971-11-09,105.720001,108.3888,0
1971-11-10,104.860001,108.3176,0
1971-11-11,103.739998,108.2194,0
1971-11-12,103.910004,108.1184,0
1971-11-15,103.440002,107.9876,0
1971-11-16,103.709999,107.8512,0
1971-11-17,103.639999,107.7124,0
1971-11-18,103.440002,107.5702,0
1971-11-19,102.949997,107.4208,0
1971-11-22,101.790001,107.2522,0
1971-11-23,100.309998,107.063,0
1971-11-24,100.400002,106.8752,0
1971-11-26,101.639999,106.7124,0
1971-11-29,103.08000200000001,106.572,0
1971-11-30,103.970001,106.4516,0
1971-12-01,105.0,106.3552,0
1971-12-02,106.150002,106.2984,0
1971-12-03,107.260002,106.2676,1
1971-12-06,106.91999799999999,106.2284,1
1971-12-07,107.260002,106.21,1
1971-12-08,107.709999,106.1966,1
1971-12-09,107.970001,106.184,1
1971-12-10,108.809998,106.1796,1
1971-12-13,109.160004,106.1712,1
1971-12-14,109.07,106.1534,1
1971-12-15,109.449997,106.1426,1
1971-12-16,110.010002,106.1292,1
1971-12-17,110.519997,106.12,1
1971-12-20,111.5,106.1352,1
1971-12-21,111.730003,106.1556,1
1971-12-22,111.970001,106.1768,1
1971-12-23,111.940002,106.2018,1
1971-12-27,111.699997,106.2384,1
1971-12-28,111.93,106.285,1
1971-12-29,112.57,106.3552,1
1971-12-30,112.970001,106.4548,1
1971-12-31,114.120003,106.6056,1
1972-01-03,113.650002,106.7464,1
1972-01-04,113.93,106.889,1
1972-01-05,114.83000200000001,107.0598,1
1972-01-06,115.720001,107.2604,1
1972-01-07,116.050003,107.4958,1
1972-01-10,116.099998,107.7278,1
1972-01-11,116.639999,107.9586,1
1972-01-12,116.900002,108.2228,1
1972-01-13,116.41999799999999,108.4804,1
1972-01-14,116.739998,108.715,1
1972-01-17,116.93,108.9424,1
1972-01-18,117.660004,109.1864,1
1972-01-19,117.449997,109.4268,1
1972-01-20,117.32,109.6588,1
1972-01-21,117.209999,109.9058,1
1972-01-24,116.489998,110.1608,1
1972-01-25,116.300003,110.4086,1
1972-01-26,116.389999,110.6676,1
1972-01-27,117.370003,110.9408,1
1972-01-28,118.440002,111.2368,1
1972-01-31,118.870003,111.5454,1
1972-02-01,119.58000200000001,111.878001,1
1972-02-02,120.470001,112.251601,1
1972-02-03,120.660004,112.658601,1
1972-02-04,121.239998,113.075401,1
1972-02-07,121.139999,113.465401,1
1972-02-08,121.349998,113.8308,1
1972-02-09,122.160004,114.194601,1
1972-02-10,122.709999,114.548801,1
1972-02-11,122.860001,114.883,1
1972-02-14,122.260002,115.183,1
1972-02-15,122.610001,115.496801,1
1972-02-16,123.349998,115.8186,1
1972-02-17,123.440002,116.133201,1
1972-02-18,123.400002,116.441801,1
1972-02-22,123.300003,116.731601,1
1972-02-23,123.610001,117.020601,1
1972-02-24,124.0,117.319201,1
1972-02-25,124.83000200000001,117.626801,1
1972-02-28,124.940002,117.925401,1
1972-02-29,125.379997,118.222601,1
1972-03-01,126.290001,118.518401,1
1972-03-02,126.58000200000001,118.815401,1
1972-03-03,127.190002,119.119801,1
1972-03-06,127.879997,119.438601,1
1972-03-07,127.83000200000001,119.761201,1
1972-03-08,128.399994,120.090601,1
1972-03-09,128.850006,120.416201,1
1972-03-10,128.550003,120.727801,1
1972-03-13,127.339996,120.992201,1
1972-03-14,127.730003,121.273801,1
1972-03-15,128.139999,121.558001,1
1972-03-16,127.769997,121.816801,1
1972-03-17,128.009995,122.0626,1
1972-03-20,127.529999,122.2922,1
1972-03-21,125.730003,122.4848,1
1972-03-22,126.360001,122.6792,1
1972-03-23,127.379997,122.8888,1
1972-03-24,127.550003,123.1114,1
1972-03-27,127.559998,123.3278,1
1972-03-28,127.720001,123.5436,1
1972-03-29,127.529999,123.741,1
1972-03-30,128.139999,123.9548,1
1972-04-03,128.059998,124.1696,1
1972-04-04,128.779999,124.401,1
1972-04-05,130.0,124.6712,1
1972-04-06,130.919998,124.9636,1
1972-04-07,131.800003,125.2718,1
1972-04-10,131.759995,125.5596,1
1972-04-11,132.470001,125.8402,1
1972-04-12,133.169998,126.1262,1
1972-04-13,133.059998,126.3958,1
1972-04-14,133.880005,126.664,1
1972-04-17,133.740005,126.9256,1
1972-04-18,134.100006,127.1828,1
1972-04-19,132.679993,127.4136,1
1972-04-20,132.860001,127.6438,1
1972-04-21,133.009995,127.8608,1
1972-04-24,131.899994,128.0446,1
1972-04-25,130.83999599999999,128.2042,1
1972-04-26,130.919998,128.3774,1
1972-04-27,131.009995,128.5454,1
1972-04-28,131.330002,128.705,1
1972-05-01,130.16000400000001,128.8394,1
1972-05-02,129.33999599999999,128.9582,1
1972-05-03,128.770004,129.0676,0
1972-05-04,128.919998,129.1738,0
1972-05-05,129.429993,129.282399,1
1972-05-08,128.619995,129.358199,0
1972-05-09,125.779999,129.374999,0
1972-05-10,126.769997,129.402799,0
1972-05-11,127.949997,129.435999,0
1972-05-12,129.440002,129.493199,0
1972-05-15,130.33999599999999,129.556199,1
1972-05-16,130.360001,129.605799,1
1972-05-17,129.759995,129.644399,1
1972-05-18,130.820007,129.692799,1
1972-05-19,132.16000400000001,129.758999,1
1972-05-22,132.380005,129.835599,1
1972-05-23,132.720001,129.943199,1
1972-05-24,133.470001,130.057999,1
1972-05-25,133.800003,130.171199,1
1972-05-26,133.949997,130.294799,1
1972-05-30,133.449997,130.403599,1
1972-05-31,132.529999,130.503599,1
1972-06-01,133.130005,130.651599,1
1972-06-02,133.520004,130.7948,1
1972-06-05,132.740005,130.902,1
1972-06-06,132.0,130.991,1
1972-06-07,131.0,131.0598,0
1972-06-08,131.070007,131.1268,0
1972-06-09,130.570007,131.1876,0
1972-06-12,130.380005,131.2324,0
1972-06-13,130.779999,131.2868,0
1972-06-14,131.449997,131.3402,1
1972-06-15,131.28999299999998,131.366,0
1972-06-16,131.279999,131.3732,0
1972-06-19,130.759995,131.3524,0
1972-06-20,131.070007,131.3386,0
1972-06-21,131.380005,131.3168,1
1972-06-22,130.78999299999998,131.2692,0
1972-06-23,130.220001,131.2124,0
1972-06-26,129.309998,131.121,0
1972-06-27,129.78999299999998,131.042,0
1972-06-28,129.580002,130.9516,0
1972-06-29,129.350006,130.885,0
1972-06-30,130.080002,130.8294,0
1972-07-03,130.58999599999999,130.781,0
1972-07-05,131.279999,130.7686,1
1972-07-06,131.860001,130.789,1
1972-07-07,131.5,130.8006,1
1972-07-10,130.850006,130.7974,1
1972-07-11,130.470001,130.7802,0
1972-07-12,130.110001,130.7792,0
1972-07-13,129.029999,130.773,0
1972-07-14,129.380005,130.7852,0
1972-07-17,128.399994,130.7748,0
1972-07-18,127.540001,130.737,0
1972-07-19,127.769997,130.72,0
1972-07-20,127.089996,130.7462,0
1972-07-21,127.629997,130.7634,0
1972-07-24,128.770004,130.779801,0
1972-07-25,128.470001,130.760401,0
1972-07-26,128.649994,130.726601,0
1972-07-27,128.360001,130.686601,0
1972-07-28,128.149994,130.6544,0
1972-07-31,127.75,130.593,0
1972-08-01,128.449997,130.5188,0
1972-08-02,129.389999,130.459,0
1972-08-03,130.309998,130.4108,0
1972-08-04,130.940002,130.3602,1
1972-08-07,130.970001,130.3036,1
1972-08-08,130.610001,130.2368,1
1972-08-09,130.75,130.1828,1
1972-08-10,130.83999599999999,130.149,1
1972-08-11,131.679993,130.12,1
1972-08-14,131.699997,130.0836,1
1972-08-15,131.479996,130.0584,1
1972-08-16,131.46000700000002,130.0476,1
1972-08-17,130.889999,130.0454,1
1972-08-18,131.429993,130.052599,1
1972-08-21,131.28999299999998,130.066999,1
1972-08-22,131.28999299999998,130.085199,1
1972-08-23,131.100006,130.091599,1
1972-08-24,130.399994,130.070599,1
1972-08-25,130.309998,130.050999,1
1972-08-28,129.770004,130.020799,0
1972-08-29,129.440002,129.994399,0
1972-08-30,129.779999,129.968599,0
1972-08-31,129.949997,129.939999,1
1972-09-01,130.699997,129.938199,1
1972-09-05,130.330002,129.940399,1
1972-09-06,129.630005,129.946799,0
1972-09-07,129.21000700000002,129.935199,0
1972-09-08,129.130005,129.9262,0
1972-09-11,128.259995,129.904399,0
1972-09-12,127.18,129.846399,0
1972-09-13,127.510002,129.784799,0
1972-09-14,127.58000200000001,129.710799,0
1972-09-15,127.66999799999999,129.626999,0
1972-09-18,127.610001,129.549199,0
1972-09-19,127.41999799999999,129.480599,0
1972-09-20,127.510002,129.421399,0
1972-09-21,127.300003,129.365199,0
1972-09-22,127.459999,129.333799,0
1972-09-25,126.82,129.282599,0
1972-09-26,127.07,129.255999,0
1972-09-27,128.550003,129.276199,0
1972-09-28,129.130005,129.3034,0
1972-09-29,129.610001,129.3538,1
1972-10-02,129.300003,129.3872,0
1972-10-03,129.479996,129.4014,1
1972-10-04,129.28999299999998,129.417799,0
1972-10-05,128.009995,129.404999,0
1972-10-06,128.130005,129.4004,0
1972-10-09,128.509995,129.4076,0
1972-10-10,129.020004,129.433,0
1972-10-11,128.570007,129.4354,0
1972-10-12,127.870003,129.405,0
1972-10-13,127.190002,129.3426,0
1972-10-16,125.870003,129.2412,0
1972-10-17,126.43,129.1504,0
1972-10-18,127.050003,129.0792,0
1972-10-19,126.910004,129.0024,0
1972-10-20,128.0,128.9456,0
1972-10-23,128.66000400000001,128.8852,0
1972-10-24,128.91000400000001,128.829401,1
1972-10-25,128.889999,128.777601,1
1972-10-26,129.369995,128.7358,1
1972-10-27,129.529999,128.7086,1
1972-10-30,129.46000700000002,128.669201,1
1972-10-31,130.240005,128.648201,1
1972-11-01,131.58999599999999,128.654201,1
1972-11-02,132.119995,128.674601,1
1972-11-03,133.33999599999999,128.733401,1
1972-11-06,133.580002,128.798801,1
1972-11-08,133.059998,128.864601,1
1972-11-09,132.820007,128.932201,1
1972-11-10,133.119995,128.999001,1
1972-11-13,132.770004,129.055401,1
1972-11-14,132.899994,129.099401,1
1972-11-15,132.449997,129.141801,1
1972-11-16,132.619995,129.201601,1
1972-11-17,132.330002,129.264,1
1972-11-20,132.119995,129.3238,1
1972-11-21,132.190002,129.4024,1
1972-11-22,132.490005,129.5086,1
1972-11-24,133.020004,129.618801,1
1972-11-27,132.570007,129.718601,1
1972-11-28,132.71000700000002,129.819401,1
1972-11-29,132.729996,129.921801,1
1972-11-30,132.96000700000002,130.032601,1
1972-12-01,133.940002,130.161201,1
1972-12-04,134.139999,130.298001,1
1972-12-05,134.279999,130.434401,1
1972-12-06,134.679993,130.591601,1
1972-12-07,135.059998,130.751401,1
1972-12-08,135.149994,130.8834,1
1972-12-11,134.830002,130.9974,1
1972-12-12,134.270004,131.0906,1
1972-12-13,133.66000400000001,131.1778,1
1972-12-14,133.330002,131.254801,1
1972-12-15,133.529999,131.339601,1
1972-12-18,132.53999299999998,131.430201,1
1972-12-19,132.389999,131.515401,1
1972-12-20,131.929993,131.5838,1
1972-12-21,131.080002,131.625,0
1972-12-22,131.279999,131.6792,0
1972-12-26,131.179993,131.7454,0
1972-12-27,131.929993,131.8402,1
1972-12-29,133.729996,131.9974,1
1973-01-02,134.630005,132.1614,1
1973-01-03,135.380005,132.328,1
1973-01-04,135.440002,132.4986,1
1973-01-05,135.91000400000001,132.6568,1
1973-01-08,136.020004,132.804,1
1973-01-09,135.990005,132.9456,1
1973-01-10,136.059998,133.089,1
1973-01-11,136.83999599999999,133.2384,1
1973-01-12,136.009995,133.368,1
