,STOCK,CURRPRICE
1382,frpt,64.7
1383,cath,40.68
1384,strl,14.81
1385,livn,75.56
1386,pgny,31.85
1387,ay,27.64
1388,boxl,1.4
1389,veon,2.65
1390,mime,50.23
1391,clls,18.64
1392,egle,4.31
1393,atex,49
1394,amrb,14.77
1395,cmls,16.01
1396,spns,25.75
1397,emcf,32.35
1398,xog,1.92
1399,ufpt,47.99
1400,apls,40.68
1401,inmb,5.68
1402,dtil,11.19
1403,koss,1.55
1404,qiwi,19.77
1405,soly,12.01
1406,ftdr,48.3
1407,ptct,52.84
1408,twnk,14.06
1409,akca,17.78
1410,pdce,24.19
1411,tcf,45.92
1412,strt,22.37
1413,mrcy,76.3
1414,sbt,7.93
1415,educ,5.73
1416,zbio,8.72
1417,cpta,8.91
1418,plab,15.29
1419,thmo,4.9
1420,hlit,8.35
1421,smbc,37.95
1422,pebk,31.07
1423,uslb,35.39
1424,nghcn,25.65
1425,cent,32.78
1426,amgn,242.11
1427,kids,48.04
1428,oncy,3.24
1429,algn,285.69
1430,otlk,1.04
1431,gogo,5.66
1432,sbcf,30.44
1433,fnjn,2.31
1434,nfin,10.01
1435,lxrx,4.26
1436,wmgi,30.28
1437,cffa,10.33
1438,exls,72.65
1439,mtp,0.91
1440,isem,27.56
1441,brew,16.47
1442,asrt,1.27
1443,axnx,31.5
1444,cwbc,11.07
1445,xers,6.35
1446,altm,2.9
1447,pcti,8.94
1448,blcn,26.9
1449,xoma,23.96
1450,srpt,130.25
1451,essa,17.49
1452,cort,13.23
1453,lope,96.31
1454,idcc,59.88
1455,ftac,10.24
1456,cenx,7.27
1457,synh,64.2
1458,neph,10.03
1459,frba,10.76
1460,genc,11.34
1461,whlr,1.79
1462,gfed,24.98
1463,habt,13.96
1464,celh,5.1
1465,bksc,19.11
1466,fcbp,26.02
1467,ptsi,58.37
1468,jjsf,187.09
1469,ftacu,10.9
1470,alrn,0.79
1471,vivo,10.06
1472,vrna,5.91
1473,itrm,3.91
1474,uhal,385.55
1475,mlco,24.4
1476,occip,25.7
1477,amrn,20.08
1478,artw,1.97
1479,anix,3.55
1480,sbux,92.93
1481,viaca,44.2
1482,sglb,0.97
1483,agio,51.75
1484,fusb,11.06
1485,argx,152
1486,istr,24.4
1487,blfs,15.91
1488,ta,18.45
1489,psti,4.03
1490,gnca,2.78
1491,rive,12.5
1492,gwph,120.05
1493,ontx,0.42
1494,sohon,26.75
1495,pahc,26.32
1496,bmtc,41
1497,core,25.76
1498,ffnw,14.99
1499,vicr,53.74
1500,rvsb,7.63
1501,gtls,71.9
1502,cgen,6.03
1503,wins,13.5
1504,tsem,25.58
1505,iesc,26.66
1506,obnk,37.25
1507,esca,9.23
1508,esgr,206.89
1509,relv,4.02
1510,catm,46.63
1511,bokf,86.98
1512,seed,8.71
1513,tttn,31.57
1514,sfnc,26.44
1515,bldr,27.25
1516,staf,1
1517,wltw,205.49
1518,mrtx,97.74
1519,opra,7.79
1520,nstg,31.08
1521,fcco,20.54
1522,cwbr,2.24
1523,cytk,12.74
1524,newt,21.82
1525,pmts,0.61
1526,eei,15.15
1527,fran,9.58
1528,gnus,0.32
1529,bwmc,10.15
1530,aspu,7.6
1531,fcel,2.3
1532,smcp,25.37
1533,ktos,19.62
1534,lhcg,144.05
1535,mtsi,28.81
1536,irtc,89.18
1537,forty,74.98
1538,sama,10.14
1539,bkcc,5
1540,ufpi,48.87
1541,csii,52.76
1542,alec,20.06
1543,btai,17.5
1544,viab,23.51
1545,wilc,12.25
1546,fnhc,16.62
1547,bpy,19.69
1548,apop,2.87
1549,pesi,8.41
1550,rfem,66.93
1551,klxe,5.54
1552,azpn,141.41
1553,dwfi,23.61
1554,terp,17.3
1555,fang,90.89
1556,cdw,140.89
1557,freq,25.36
1558,chsco,27.74
1559,optn,8.89
1560,hbnc,18.75
1561,bbsi,91.45
1562,wb,48.24
1563,eltk,3.67
1564,amrs,3.13
1565,idra,1.99
1566,oyst,24.74
1567,dorm,78.29
1568,rpd,63.31
1569,alrs,21.67
1570,cbmg,17.84
1571,beat,55.66
1572,trcb,22.22
1573,msbf,17.53
1574,panl,2.98
1575,adpt,27.56
1576,jva,4.15
1577,wynn,152.69
1578,cey,24.55
1579,chpmu,10.36
1580,vrtsp,100.72
1581,ueic,54.09
1582,acbi,18.11
1583,sohob,26.23
1584,mlab,264.2
1585,cvv,3.83
1586,trvn,0.9
1587,edap,4.11
1588,ffiv,139.24
1589,acrx,2
1590,bpypo,26.1
1591,cbli,0.92
1592,capr,1.79
1593,slrc,20.89
1594,unam,7.07
1595,akro,19.79
1596,trup,32.39
1597,htlf,50.49
1598,imrn,3.55
1599,lway,2.39
1600,qrhc,2.53
1601,viav,16.02
1602,hoth,5.26
1603,ccb,17.39
1604,srra,0.42
1605,pinc,37.15
1606,fold,10.65
1607,amrk,8.73
1608,hhr,23.68
1609,ofed,26.99
1610,medp,91.55
1611,foxf,67.69
1612,ppih,9.24
1613,unty,21.75
1614,xon,6.24
1615,ssb,87.55
1616,hfwa,28
1617,rfeu,63.24
1618,acgl,44.81
1619,smtx,3.79
1620,cycc,0.72
1621,nvmi,39.79
1622,clmt,4.5
1623,seac,3.98
1624,caty,38.29
1625,ffin,35.33
1626,piz,29.7
1627,band,72.2
1628,cvbf,21.74
1629,nbtb,41.27
1630,ftri,12.93
1631,aame,1.93
1632,loco,14.7
1633,ormp,5.18
1634,car,36.05
1635,mlvf,22.18
1636,mwk,5.71
1637,wing,88.07
1638,grif,41.02
1639,kfrc,40.11
1640,pfie,1.44
1641,arvn,51.77
1642,ecpg,37.01
1643,cdmo,6.55
1644,uboh,22.9
1645,tscap,26.66
1646,pme,1.18
1647,coup,169.5
1648,gfncp,107.25
1649,tcbi,54.93
1650,boom,44.27
1651,nviv,0.29
1652,mkgi,2.07
1653,miln,27.02
1654,hnrg,2.56
1655,amcx,41.45
1656,disca,32.79
1657,fox,38.31
1658,blph,0.4
1659,scpl,12.1
1660,gthx,26.2
1661,cpaau,11.07
1662,imgn,4.88
1663,cpsi,28.08
1664,amtd,51.39
1665,tsri,3.99
1666,uonek,1.92
1667,tbph,25.68
1668,dske,3.64
1669,csiq,23.05
1670,lqdt,5.9
1671,syna,71.73
1672,bcda,5.43
1673,sesn,1.0
1674,apxt,10.03
1675,cvgw,80.7
1676,mcbc,10.94
1677,blrx,2.47
1678,luna,8.51
1679,ssrm,18
1680,atra,16.08
1681,ffhl,3.06
1682,carv,2.57
1683,aktx,1.93
1684,cdxc,4.49
1685,arcb,28.65
1686,bcpc,109.21
1687,vsmv,33.71
1688,ctxr,1.18
1689,pxi,27.19
1690,stcn,1.51
1691,krny,13.5
1692,th,5.3
1693,pflt,12.23
1694,rmni,4.25
1695,soho,6.6
1696,cpah,2.5
1697,clxt,7.56
1698,gshd,45.79
1699,cdc,49.41
1700,axla,4.96
1701,ldsf,20.57
1702,hbt,19.12
1703,rail,1.87
1704,slno,2.94
1705,tell,7.89
1706,ctbi,46.39
1707,hbcp,38.35
1708,dooo,46.98
1709,opi,34.14
1710,cid,33.94
1711,bmlp,46.61
1712,gnln,3.1
1713,cone,64.1
1714,ntnx,35.71
1715,upld,41.57
1716,allo,27.18
1717,bntx,33.05
1718,osw,16.18
1719,vrts,128.01
1720,glre,10.14
1721,apwc,1.65
1722,camp,10.08
1723,derm,19.17
1724,gden,19.19
1725,scyx,1.09
1726,tsla,507.61
1727,pcyg,4.92
1728,chmg,41.8
1729,nbix,106.08
1730,bidu,140.61
1731,psmt,65.54
1732,appn,54.56
1733,sngx,2.1
1734,zgnx,57
1735,zeal,36.45
1736,ichr,39.64
1737,crex,1.56
1738,bprap,25.25
1739,mnst,67.2
1740,tcon,4.05
1741,eyen,4.87
1742,psm,26.43
1743,neog,70.25
1744,vbfc,38.19
1745,uxin,2.63
1746,ftxo,27.64
1747,tatt,5.24
1748,focs,27.34
1749,stok,23.92
1750,kvhi,10.92
1751,rmbl,0.65
1752,ocsi,8.36
1753,paac,10.07
1754,blu,8.59
1755,pgc,30.69
1756,bhf,40.77
1757,googl,1462.54
1758,eye,32.99
1759,lrge,39.7
1760,vlypp,28.48
1761,weys,23.76
1762,saqnu,10.35
1763,fpay,2.55
1764,riot,1.45
1765,ytra,3.45
1766,hyacu,10.65
1767,nwsa,14.92
1768,pnrg,146.61
1769,lanc,162.63
1770,trip,31.57
1771,feim,9.98
1772,pfm,31.37
1773,stne,41.09
1774,nxtg,56.7
1775,tvty,26
1776,pub,29.83
1777,apen,2.85
1778,airt,20.24
1779,dcar,1.02
1780,ttoo,1.13
1781,legh,14.88
1782,smmcu,10.39
1783,aciu,9.75
1784,boch,11.52
1785,hurn,69.46
1786,twst,22.8
1787,navi,13.64
1788,cban,15.87
1789,hcat,34.94
1790,clsd,2.51
1791,umpq,18.39
1792,phun,1.17
1793,ovid,3.96
1794,ncna,5.46
1795,immp,2.15
1796,achc,33.76
1797,cldx,2.51
1798,kod,65.26
1799,dsgx,46.09
1800,neos,1.59
1801,lstr,117.37
1802,brks,44.54
1803,useg,4.86
1804,lmrk,16.76
1805,pch,45.42
1806,mgpi,44.95
1807,utsi,2.86
1808,vrex,31.9
1809,qtt,4.2
1810,cohr,172.71
1811,ipwr,2.55
1812,ovly,18.83
1813,nvax,4.88
1814,efas,16.6
1815,lazy,4.15
1816,chkp,115.44
1817,mgee,79.35
1818,kbwy,31.4
1819,mrkr,3.29
1820,bsmp,25.38
1821,ctac,11.01
1822,morn,160.41
1823,good,22.4
1824,rdcm,8.88
1825,apxtu,10.45
1826,bcyc,11.2
1827,veri,2.66
1828,rmr,45.23
1829,hubg,55.05
1830,csco,49.31
1831,ipldp,25.56
1832,leco,97.45
1833,dnli,22.13
1834,mu,58.02
1835,hsdt,1.26
1836,kbsf,2.25
1837,iea,3.46
1838,txn,130.76
1839,acia,68.95
1840,novn,0.65
1841,bngo,1.23
1842,acmr,36
1843,csgp,659
1844,arya,10.58
1845,pcom,15.38
1846,afh,0.61
1847,htbk,12.64
1848,nk,6.95
1849,wifi,13
1850,drrx,2.09
1851,dynt,0.94
1852,ngm,19.24
1853,idxg,7.9
1854,scor,5.29
1855,nvfy,1.86
1856,clfd,14.39
1857,sorl,4.6
1858,gnmx,0.2
1859,pfpt,125.69
1860,chna,26.29
1861,fve,5.36
1862,sqbg,0.36
1863,gbci,45.52
1864,bwfg,28.33
1865,bgfv,4.03
1866,skyw,66.11
1867,colm,96.38
1868,deacu,14.31
1869,stkl,3.13
1870,ebiz,19.62
1871,gpor,2.07
1872,oled,213.89
1873,mnta,30.32
1874,mrin,1.72
1875,rdus,19.89
1876,wkhs,3.47
1877,slp,33.55
1878,aqb,2.46
1879,cbtx,31.73
1880,toca,0.57
1881,kalu,106.74
1882,gpp,14.65
1883,mitk,9.69
1884,kzr,3.4
1885,mags,4.04
1886,pval,28.67
1887,mgrc,78.93
1888,aciw,38.3
1889,vrca,15.97
1890,lob,18.96
1891,lkq,34.98
1892,phcf,2.05
1893,abmd,180.77
1894,pacq,10.4
1895,esxb,9.6
1896,intl,51.33
1897,east,3.02
1898,gecc,7.94
1899,hear,9.2
1900,pfbc,60.5
1901,grfs,23.74
1902,wdc,69.76
1903,omer,14.91
1904,mbii,1.1
1905,fulc,18.89
1906,kxin,1.24
1907,pbyi,8.95
1908,ifrx,3.74
1909,nvcr,95
1910,gevo,2.3
1911,glad,10.45
1912,cmco,38.25
1913,mpaa,22.29
1914,glibp,26.99
1915,cbat,0.91
1916,exas,90.01
1917,hban,14.74
1918,lsxma,49.63
1919,cldb,20.2
1920,fwona,45.48
1921,glbz,11.57
1922,vtgn,0.68
1923,psc,33.41
1924,self,4.39
1925,hepa,5.54
1926,apdn,4.22
1927,gainm,25.64
1928,alya,2.86
1929,bgrn,54.05
1930,ncmi,7.88
1931,myfw,16.31
1932,otex,46.83
1933,gfn,11.24
1934,eton,7.5
1935,fitbo,26.03
1936,agfs,2.63
1937,fprx,5.21
1938,exel,20.57
1939,wash,52.5
1940,fosl,8.18
1941,crai,56.58
1942,lrcx,307.05
1943,tbio,8.44
1944,insm,22.94
1945,apvo,0.69
1946,svvc,6.66
1947,prof,13.33
1948,esgrp,28.7
1949,atxi,8.79
1950,opk,1.61
1951,bhfap,27.34
1952,hqy,73.3
1953,cmbm,8.88
1954,cste,15.76
1955,wafd,36.29
1956,botz,22.58
1957,trns,32.8
1958,kern,8.66
1959,uscr,41.17
1960,roku,131.25
1961,hbano,26.33
1962,dvlu,20.13
1963,fwrd,71.07
1964,ante,1.04
1965,athx,1.26
1966,samau,10.49
1967,novt,96.72
1968,zs,62
1969,umbf,68.78
1970,ltbr,4.93
1971,nrc,67.31
1972,flxs,20.88
1973,nndm,2.3
1974,mrna,21.5
1975,mark,0.61
1976,hook,11.35
1977,dwmc,24.42
1978,powl,46.99
1979,sprt,1.3
1980,frme,42
1981,sien,8.17
1982,tpco,13.02
1983,ttmi,15.66
1984,ssys,21.95
1985,shen,44.45
1986,dfnl,25.54
1987,crus,85.19
1988,ebix,35.43
1989,wrld,92.35
1990,erii,10.59
1991,xper,18.72
1992,iec,9.28
1993,cswc,21.14
1994,nvee,56.93
1995,hone,11.19
1996,crsp,60.13
1997,cers,4.24
1998,irmd,26.28
1999,jctcf,7.93
2000,vbtx,28.61
2001,pypl,116.45
2002,loop,9.98
2003,apex,0.86
2004,suns,17.95
2005,eslt,157.5
2006,kala,5.77
2007,igsb,53.75
2008,atom,4.01
2009,sgry,18
2010,repl,19.31
2011,htbi,27.02
2012,bnso,2.37
2013,krtx,95.36
2014,tcmd,64
2015,smit,3.55
2016,gain,13.78
2017,legr,32.88
2018,npauu,10.38
2019,cake,39.87
2020,bsmr,25.28
2021,fsv,98.41
2022,sage,74.5
2023,wire,60.05
2024,zg,47.23
2025,abio,5.51
2026,ctrn,22.79
2027,insuu,10.6
2028,seic,66.4
2029,thcau,10.12
2030,masi,170.29
2031,wsg,3.3
2032,ecow,25.86
2033,roll,176.39
2034,sic,9.04
2035,dbvt,12.77
2036,bosc,2.25
2037,hebt,7.71
2038,acnb,35.98
2039,yy,65.83
2040,shsp,11.56
2041,ntic,14.56
2042,xent,25.08
2043,gmda,4.65
2044,ppsi,2.48
2045,eypt,1.74
2046,comm,14.85
2047,wabc,68.65
2048,evfm,6.42
2049,bfst,25.11
2050,acglp,25.5
2051,immr,7.88
2052,ensg,48.09
2053,aeis,74.9
2054,ccrc,10.99
2055,lnt,56.87
2056,gild,63.5
2057,amciu,10.57
2058,lgih,79.45
2059,aobc,9.68
2060,mnsb,23.45
2061,faar,25.89
2062,djco,285.08
2063,ssnc,63.51
2064,xgn,24.43
2065,otel,8.75
2066,mgtx,20.83
2067,lilak,19.42
2068,erie,168.98
2069,refr,3.1
2070,dmac,4.7
2071,pton,31
2072,nymtp,25.32
2073,sieb,8.78
2074,asfi,10.26
2075,ccxi,40.98
2076,altr,39.52
2077,sgms,28.05
2078,mdrx,9.86
2079,bl,64.2
2080,plus,86.69
2081,rndv,24.49
2082,mfnc,16.65
2083,csod,64.45
2084,bzun,36.47
2085,peri,8.8
2086,opes,10.5
2087,ezpw,6.3
2088,pbctp,28.66
2089,catc,77.22
2090,ea,112.37
2091,live,7.94
2092,landp,26.02
2093,aiq,19.05
2094,grnq,0.57
2095,mfin,6.99
2096,ainv,17.6
2097,ntwk,3.79
2098,bbgi,3.31
2099,krys,52.6
2100,qadb,37.25
2101,chscm,26.99
2102,chrw,82.01
2103,fxnc,20.65
2104,arct,12.2
2105,bctf,15.59
2106,hgsh,0.61
2107,chek,1.99
2108,quik,8.01
2109,crmt,110.73
2110,afya,28.64
2111,wrtc,5.83
2112,acst,0.8
2113,bmrn,89.47
2114,nymx,3.05
2115,whlm,4
2116,atax,7.61
2117,virc,4.27
2118,sgoc,0.91
2119,lfvn,15.63
2120,pxs,1.09
2121,mnov,6.91
2122,imbi,5.16
2123,rfap,53.52
2124,vrml,0.82
2125,mind,3
2126,knsl,110.11
2127,anik,47.44
2128,tues,1.6
2129,rnet,6.04
2130,ptgx,7.22
2131,algru,10.57
2132,sohu,12.4
2133,pegi,26.83
2134,uthr,94.48
2135,dax,28.56
2136,glng,15.13
2137,wdfc,191.96
2138,wtba,24.74
2139,srax,2.31
2140,rtix,4.58
2141,rick,18.8
2142,nymt,6.32
2143,pset,42.33
2144,vnda,15.57
2145,fcbc,31.05
2146,pfis,50
2147,hska,107.24
2148,vygr,14.78
2149,pmbc,7.7
2150,salm,1.48
2151,prtk,3.88
2152,cpss,3.48
2153,hmnf,20.7
2154,plbc,26.89
2155,drio,7.5
2156,banr,55.15
2157,slab,120
2158,mvis,0.75
2159,mtc,2.05
2160,tait,2.94
2161,znga,6.83
2162,cdzi,10.2
2163,upwk,10.17
2164,fmbh,35.28
2165,idsa,1.12
2166,bldp,11.22
2167,glyc,4.93
2168,sync,1.65
2169,kzia,4.63
2170,hsii,31.85
2171,cris,1.75
2172,celc,11.2
2173,atrc,37.01
2174,nwli,280.94
2175,ntgn,1.8
2176,cibr,32.33
2177,sg,8.79
2178,nflx,341
2179,wtrh,0.4
2180,arpo,0.62
2181,ttek,90
2182,cart,12.68
2183,pola,2.71
2184,dffn,0.5
2185,xair,6.75
2186,aplt,50
2187,bstc,57.17
2188,rcon,2.43
2189,py,34.78
2190,vrig,25.03
2191,vbiv,1.77
2192,alsk,1.97
2193,rell,5.69
2194,ruhn,8.85
2195,arec,0.57
2196,acer,4.4
2197,apyx,8.4
2198,tbbk,12.25
2199,whf,14.04
2200,strs,30.33
2201,icad,9.73
2202,tcbk,39.48
2203,zfgn,1.3
2204,dgica,14.62
2205,prts,2.8
2206,lngr,24.28
2207,mbwm,35.85
2208,nmrd,3.57
2209,rndb,17.84
2210,rexn,2.32
2211,dmlp,20.87
2212,cdns,73.38
2213,yndx,44.63
2214,icfi,93.22
2215,dlhc,4.9
2216,mksi,115.57
2217,plug,4.2
2218,asur,8.41
2219,vly,11.52
2220,fccy,22.09
2221,ctic,1.39
2222,banf,63.82
2223,lcnb,18.45
2224,cacg,35.87
2225,mrtn,21.67
2226,acam,10.04
2227,esgd,69.58
2228,spke,9.65
2229,ncsm,1.89
2230,dwtr,34.25
2231,fdef,31.45
2232,autl,12.86
2233,fixx,17.77
2234,mtem,14.07
2235,pfmt,1.07
2236,gnpx,0.37
2237,pdfs,17.63
2238,sfix,25.21
2239,naov,2.73
2240,prpl,11.17
2241,bsqr,1.54
2242,metc,3.76
2243,imac,1.41
2244,uvsp,26.91
2245,htld,21.15
2246,alt,1.84
2247,advm,11.94
2248,atro,29.11
2249,zumz,34.36
2250,csml,28.04
2251,rigl,3.1
2252,mdgl,86.28
2253,csq,14
2254,pkbk,24.9
2255,coda,8.15
2256,bwb,13.3
2257,ddiv,27.27
2258,adus,98.11
2259,optt,0.96
2260,cown,16.82
2261,lbai,17.16
2262,dnkn,78.98
2263,prov,21.8
2264,cme,207.28
2265,tlf,5.4
2266,vlrx,0.76
2267,peix,0.68
2268,belfa,16.34
2269,ottw,13.97
2270,smmc,9.99
2271,forr,43.89
2272,glpg,228.14
2273,botj,14.64
2274,nxst,130.54
2275,avco,1.93
2276,dmtk,10.81
2277,valx,27.75
2278,uihc,10.96
2279,wsc,18.97
2280,cetx,2.27
2281,thca,9.89
2282,nvcn,3.23
2283,cdtx,3.5
2284,tigr,4.15
2285,plxp,4.8
2286,vnom,24.69
2287,bcow,10.69
2288,fbio,2.79
2289,dgii,17.76
2290,atif,1.84
2291,loacu,10.65
2292,aemd,1.99
2293,itic,164.55
2294,ostk,8.6
2295,elox,4.77
2296,ygyi,2.82
2297,myl,22.02
2298,eryp,7.33
2299,eng,0.97
2300,apto,5.82
2301,bcli,4.39
2302,lyl,1.36
2303,mcmj,9.8
2304,sndx,8.79
2305,pcb,15.83
2306,ibkr,50.11
2307,alna,2.8
2308,khc,31.8
2309,pavm,1.44
2310,lmb,4.5
2311,inap,1.3
2312,nfe,15.44
2313,tenb,27.12
2314,pope,124.77
2315,pdli,3.31
2316,pzza,65.39
2317,evsi,6.09
2318,rkda,5.38
2319,org,23.71
2320,ptvca,15.13
2321,clsn,1.62
2322,hmst,33.26
2323,okta,128.34
2324,chng,16.4
2325,reed,1.17
2326,ctsh,62.56
2327,vra,11.51
2328,fvc,28.63
2329,rgls,1.23
2330,sunw,1.14
2331,iknx,6.8
2332,rushb,47.95
2333,dxyn,1.41
2334,iart,60.36
2335,bndw,78.97
2336,trib,1.04
2337,reph,16.37
2338,ciz,33.86
2339,enfc,30.16
2340,zbra,252.75
2341,hnna,10.13
2342,mor,33.07
2343,func,23.98
2344,vstm,1.98
2345,clvs,9.37
2346,gilt,9.2
2347,farm,12.75
2348,hayn,30.35
2349,admp,0.78
2350,unb,37.39
2351,ymab,32.88
2352,kldo,5.13
2353,ucbi,30.44
2354,pbip,18
2355,le,14.96
2356,cdmop,26.94
2357,nbn,20.84
2358,gure,0.67
2359,chma,5.09
2360,fibk,41.45
2361,ptf,82.53
2362,vray,2.94
2363,holi,17.25
2364,aljj,1.17
2365,alny,119.01
2366,psnl,12.61
2367,cmrx,2.08
2368,resn,2.46
2369,pey,19.33
2370,vrtu,43
2371,wwd,125.64
2372,sitm,24.9
2373,giii,30.49
2374,hcsg,27.36
2375,atlo,27.2
2376,cccl,0.76
2377,ipar,74.51
2378,ibkco,27.91
2379,nnbr,9.62
2380,pfg,56.1
2381,eigi,5.2
2382,ckpt,1.86
2383,rttr,0.22
2384,xnet,5.7
2385,expd,75.79
2386,yi,7.06
2387,sskn,2.19
2388,aosl,14.15
2389,crws,6.41
2390,rcel,10.45
2391,cerc,5.14
2392,ocfc,25.25
2393,atlc,11.16
2394,svbi,9.09
2395,pati,14.75
2396,sgbx,0.19
2397,ocul,4.64
2398,cgnx,57.94
2399,isig,0.8
2400,bsmn,25.25
2401,pkoh,35.72
2402,cbpo,117
2403,edit,32.2
2404,mito,3.09
2405,grshu,11.34
2406,asys,7.6
2407,nxgn,16.33
2408,reto,0.98
2409,inse,5.85
2410,prim,22.53
2411,iclk,3.8
2412,myt,0.59
2413,snca,1.68
2414,five,116.59
2415,hwkn,43.33
2416,acttu,10.61
2417,bpth,7.65
2418,infi,1.19
2419,neo,32.88
2420,ilmn,327.73
2421,selb,3.16
2422,cpix,5.17
2423,sndl,3.3
2424,mots,2.2
2425,csfl,24.71
2426,cvly,22.49
2427,ndls,6.98
2428,rdfn,24.33
2429,axsm,92.99
2430,syrs,8.75
2431,spex,1.18
2432,arkr,22.25
2433,disck,30.58
2434,liqt,6.4
2435,isbc,11.82
2436,uslm,93.96
2437,crox,43.17
2438,wina,201.96
2439,ccoi,73.76
2440,tnxp,1.5
2441,aimt,36.8
2442,tcrr,15
2443,mdb,152.91
2444,myok,76
2445,fonr,21.14
2446,prph,1.9
2447,blcm,2.19
2448,sgmo,8.97
2449,sdvy,22.18
2450,fll,3.31
2451,bset,16.79
2452,cacc,449.99
2453,bynd,110.84
2454,amsc,7.86
2455,fdus,14.96
2456,mhld,0.84
2457,rada,6.71
2458,rdnt,20.52
2459,mbrx,0.97
2460,fnko,15.15
2461,usmc,32.21
2462,ttec,43.18
2463,whlrd,15
2464,tlry,20.5
2465,caas,3.25
2466,hlg,67
2467,jcs,6.51
2468,itrn,26.05
2469,sanm,34.62
2470,ions,61.71
2471,fmciu,10.76
2472,hht,1.47
2473,mbuu,42.14
2474,nghc,22.86
2475,hifs,207.6
2476,alrm,45.54
2477,hrzn,13.38
2478,alacf,4.9
2479,dcom,20.36
2480,artna,38.8
2481,ccd,21.91
2482,love,13.86
2483,ibcp,22.68
2484,dxcm,236.19
2485,team,135.11
2486,lite,78.57
2487,cbnk,14.74
2488,mays,30
2489,oxlcm,25.6
2490,bili,23.11
2491,petz,1.65
2492,rcky,29.02
2493,srrk,10.9
2494,caba,16.39
2495,tbk,38.97
2496,kopn,0.49
2497,lpsn,41.44
2498,krma,24.3
2499,sphs,0.65
2500,iiin,24.43
2501,amtb,20.59
2502,cnat,0.42
2503,gogl,5.38
2504,ilpt,22.58
2505,xspa,0.61
2506,bdge,33.29
2507,meet,5.7
2508,hson,13.02
2509,prgx,4.54
2510,vtnr,1.8
2511,cats,17.27
2512,tcfcp,26.61
2513,rcii,30.77
2514,ctmx,7.61
2515,nihd,2.2
2516,cffn,14.03
2517,eq,4.82
2518,cemi,4
2519,jrvr,41.97
2520,rock,53.99
2521,fdbc,62.33
2522,evlo,4.29
2523,seneb,37.11
2524,ntgr,26.5
2525,atec,7.5
2526,trch,0.67
2527,mdco,84.96
2528,grow,1.34
2529,pcar,78.79
2530,hele,186.64
2531,cvgi,6.12
2532,stsa,18.9
2533,aubn,54.9
2534,llit,0.55
2535,prqr,8.38
2536,ssp,16.93
2537,csa,50.4
2538,samg,12.54
2539,qcom,93
2540,mcep,0.3
2541,mmsi,37.14
2542,icch,13.58
2543,cyrn,1.25
2544,whlrp,11.25
2545,muds,10.37
2546,asps,19.55
2547,pih,5.63
2548,stro,12.06
2549,wetf,4.27
2550,ntus,34.19
2551,mktx,370.45
2552,hlio,49.26
2553,iin,18.83
2554,tyme,2.01
2555,play,46.76
2556,gars,6.15
2557,fomx,4.78
2558,amwd,113.49
2559,tscbp,26.91
2560,gsit,8.6
2561,becn,36.5
2562,hckt,17.08
2563,rpay,15.87
2564,srcl,63.99
2565,iiiv,31.68
2566,agle,7.78
2567,cidm,0.71
2568,rfdi,60.51
2569,azrx,1.18
2570,izea,0.32
2571,mstr,147.47
2572,dyai,5.91
2573,cfa,57.88
2574,fsct,33.72
2575,cfbi,12.01
2576,agnco,25.8
2577,pid,17.53
2578,dwcr,28.79
2579,tzac,10.45
2580,myos,1.29
2581,aegn,22.5
2582,cfrx,1.05
2583,ino,3.44
2584,rrr,24.22
2585,esq,25.03
2586,ftek,0.94
2587,itci,26.64
2588,abus,3.07
2589,nuva,79.85
2590,fixd,52.03
2591,edry,6.96
2592,bcbp,13.84
2593,cgo,13.59
2594,atrs,4.47
2595,hope,14.91
2596,isdx,26.58
2597,epzm,25.86
2598,wix,143.39
2599,rcm,13.63
2600,wstg,16.39
2601,arwr,57.69
2602,ggal,15.26
2603,dweq,26.02
2604,bioc,0.35
2605,naii,9.32
2606,tyht,0.62
2607,cocp,0.64
2608,pega,86.41
2609,ter,70.55
2610,fcef,23.47
2611,pbfs,15.05
2612,artl,2.34
2613,chrs,19.96
2614,pi,31.44
2615,plce,65.81
2616,ibtx,54.47
2617,mtsc,50.76
2618,jfin,5.49
2619,msvb,13.43
2620,grin,6.58
2621,gpaqu,10.68
2622,gwgh,9.59
2623,sbph,2
2624,bpmc,81
2625,lulu,245.51
2626,ravn,35.7
2627,scph,5.44
2628,nghco,25.42
2629,imte,9.65
2630,rnwk,1.52
2631,sgma,4
2632,ewjv,25.94
2633,esta,27.94
2634,gyro,19
2635,espr,58.83
2636,pixy,15.35
2637,avxl,3.2
2638,lca,9.98
2639,wsbc,37.13
2640,arav,12.83
2641,cigi,83.08
2642,eri,61
2643,wter,1.67
2644,evok,1.6
2645,oxlco,25.51
2646,adbe,349
2647,ubio,34.13
2648,qtnt,8.65
2649,edsa,3.65
2650,fsea,9.43
2651,prft,49.97
2652,crnx,25.14
2653,snnaq,0.03
2654,teum,0.78
2655,swks,123.94
2656,cybe,24.47
2657,spt,19.16
2658,dwat,11.42
2659,eols,11.28
2660,mcft,15.25
2661,agys,27.79
2662,sint,1.63
2663,dbx,18.07
2664,amal,19.26
2665,sgh,34.94
2666,fami,0.81
2667,go,34.35
2668,cyrx,19.19
2669,crnt,2.25
2670,cdk,56.63
2671,actg,2.81
2672,tdac,10.52
2673,mcef,19.73
2674,ccne,32
2675,egov,22.83
2676,ps,20.17
2677,thor,68.05
2678,afin,13.25
2679,cznc,28.87
2680,hsic,69.56
