,STOCK,CURRPRICE
323,iuss,25.35
324,tcfc,33.74
325,dwsh,22.46
326,scwx,16.66
327,akam,96
328,syke,37.06
329,espo,40.28
330,rose,1.31
331,sohoo,26.4
332,tmdx,19.41
333,prth,3.13
334,hlne,67.84
335,pxlw,4.06
336,tess,11.02
337,alpn,3.83
338,sbgi,33.85
339,logi,46.46
340,pcty,140
341,casa,3.98
342,amca,30.86
343,lmrko,25.9
344,algr,10.29
345,auph,19.94
346,lvgo,29.98
347,ntrsp,25.01
348,aker,3.48
349,nhld,2.78
350,hffg,16.64
351,adsk,192.38
352,nebu,10.5
353,imv,3.99
354,mjco,7.67
355,rgco,27.49
356,tzacu,10.61
357,cui,1.31
358,old,31.77
359,kblm,10.55
360,aset,31.04
361,buse,27.76
362,jazz,152.95
363,twou,21.9
364,fbss,21.59
365,fpxe,22.2
366,swir,10.24
367,mmac,31.61
368,tsg,25.23
369,cnet,1.43
370,sedg,102.9
371,lmnr,20.89
372,issc,5.37
373,ctg,6.13
374,sp,41.7
375,fmci,10.39
376,nept,2.9
377,lqda,6.22
378,chuy,25.48
379,hbio,3.21
380,msft,167.42
381,ubx,7.68
382,prah,106.41
383,lfus,192.13
384,evk,1.36
385,sbbx,24.59
386,ssbi,12.83
387,qada,53.01
388,slgn,31.55
389,chscn,28.25
390,iccc,4.96
391,sdg,67.64
392,wern,38.52
393,ambc,22.76
394,usio,1.68
395,clne,2.6
396,mrsn,7.6
397,fmao,30.57
398,driv,15.5
399,opbk,9.98
400,discb,36.78
401,sal,43.6
402,tedu,2.6
403,silc,35.54
404,xlrn,56.26
405,smrt,0.68
406,akrx,1.45
407,run,16.83
408,mbcn,25.36
409,sono,15.39
410,bcel,15.68
411,kndi,4.73
412,bsgm,5.44
413,igms,33.85
414,rnem,53.2
415,onb,18.51
416,nsec,15.37
417,inmd,45.12
418,evol,0.9
419,scvl,37.44
420,plse,14.38
421,gsky,9.18
422,snoa,4.99
423,ccmp,155.41
424,frbk,3.93
425,vive,1.04
426,prvb,16.1
427,krmd,5.51
428,dish,36.75
429,dwas,58.47
430,fcvt,34.29
431,kirk,1.37
432,pt,2.8
433,meso,8.44
434,trs,32.01
435,pets,26.75
436,supn,24.69
437,wtre,25.66
438,hyre,3.35
439,gbli,30.06
440,pdco,23.66
441,gh,83.83
442,cdl,51.01
443,gxtg,28.82
444,mxim,62.21
445,sbfgp,18.81
446,apog,34.54
447,ncbs,73.17
448,gtyh,6.37
449,omp,17.55
450,amrh,1.75
451,adap,4.51
452,gene,3.98
453,amag,12.45
454,vie,47.01
455,cbio,7.32
456,sgc,14.45
457,dogz,1.21
458,arql,20
459,nuro,3.79
460,oncs,2.08
461,tmsr,1.72
462,rave,1.63
463,shlo,3.52
464,ses,7.11
465,frsx,1.13
466,bmch,31
467,ntes,351.94
468,ndaq,108.46
469,nakd,1.18
470,ctib,1.6
471,urov,13.57
472,smed,4.48
473,sfm,17.33
474,prdo,19.24
475,andau,11.03
476,kffb,7.82
477,esge,36.96
478,pcsb,20.14
479,yin,6.4
480,amsf,68.8
481,jfk,10.14
482,cffau,10.87
483,nete,3.72
484,pho,39.82
485,zagg,7.7
486,robt,36.48
487,ardx,7.23
488,pays,9.77
489,aaon,53.11
490,mnclu,11.4
491,slgl,14.01
492,bfin,12.82
493,chscl,27.86
494,ircp,14.05
495,abtx,37.76
496,lpcn,0.56
497,fcap,71.99
498,imux,9.81
499,amba,63.73
500,efoi,0.62
501,cara,17.05
502,rgen,100.74
503,codx,1.07
504,mdwd,3.01
505,else,3.62
506,ovbc,38.44
507,smtc,55.17
508,mini,40.2
509,knsa,15.7
510,chci,2.18
511,catb,7.1
512,visl,0.28
513,estr,0.33
514,surf,3.42
515,geos,15.75
516,dare,1.65
517,fhb,28.97
518,ebtc,33.09
519,ncty,1.02
520,srce,51.84
521,bold,59.98
522,ewje,36.15
523,gmhi,10.54
524,alco,38
525,grmn,98.4
526,zionp,24.7
527,lnth,19.1
528,cez,27.02
529,qnst,14.6
530,tcx,66.58
531,goss,15.15
532,mgic,10.55
533,amswa,15.11
534,pdex,17.32
535,sbsi,37.66
536,gnss,3.4
537,hwbk,25.89
538,rp,57.96
539,fmbi,22.53
540,ttd,283.59
541,vc,90.03
542,bug,18.46
543,etfc,47.45
544,frta,14.1
545,ebsb,19.76
546,bbby,15.38
547,tdacu,10.53
548,nghcp,25.72
549,mtex,16.2
550,roseu,1.65
551,cxse,89.47
552,reg,63.22
553,mgyr,12.32
554,tayd,12.28
555,vrns,87.8
556,cpz,19.98
557,stx,61.51
558,denn,21.49
559,flgt,14.37
560,pcrx,44.09
561,alacw,0.06
562,jakk,1.1
563,atvi,60.61
564,qumu,2.62
565,bmrc,45.15
566,bpopm,26.83
567,msbi,28.95
568,cndt,5.87
569,mnkd,1.55
570,cyad,11.78
571,opgn,1.8
572,gigm,2.22
573,mcri,52.83
574,chef,38.78
575,turn,2.16
576,aste,43.54
577,fanh,26.88
578,gtim,1.77
579,pbbi,15.14
580,ifmk,0.63
581,actt,10.16
582,plpc,60.35
583,nbrv,1.5
584,rdi,11.08
585,bkng,2060
586,rmti,2.87
587,linc,2.29
588,nwbi,16.61
589,nh,1.51
590,nmih,33.35
591,apre,42.18
592,csgs,51.82
593,ius,28.36
594,trmt,5.7
595,spwh,6.6
